Borough,the_geom,OBJECTID,Loc,Street_Nam,From_Stree,To_Street,Index,May07_AM,May07_PM,May07_MD,Sept07_AM,Sept07_PM,Sept07_MD,May08_AM,May08_PM,May08_MD,Sept08_AM,Sept08_PM,Sept08_MD,May09_AM,May09_PM,May09_MD,Sept09_AM,Sept09_PM,Sept09_MD,May10_AM,May10_PM,May10_MD,Sept10_AM,Sept10_PM,Sept10_MD,May11_AM,May11_PM,May11_MD,Sept11_AM,Sept11_PM,Sept11_MD,May12_AM,May12_PM,May12_MD,Sept12_AM,Sept12_PM,Sept12_MD,May13_AM,May13_PM,May13_MD,Sept13_AM,Sept13_PM,Sept13_MD,May14_AM,May14_PM,May14_MD,Sept14_AM,Sept14_PM,Sept14_MD,May15_AM,May15_PM,May15_MD,Sept15_AM,Sept15_PM,Sept15_MD,May16_AM,May16_PM,May16_MD,Sept16_AM,Sept16_PM,Sept16_MD,May17_AM,May17_PM,May17_MD,Sept17_AM,Sept17_PM,Sept17_MD,May18_AM,May18_PM,May18_MD,Sept18_PM,Sept18_MD,May19_AM,May19_PM,May19_MD
Brooklyn,POINT (-73.98134205800814 40.66717415129591),11,11,7th Avenue,9th Street,8th Street,Y,2345,4089,2519,2167,3801,1917,3259,4733,2682,2646,3900,3110,2233,3986,2944,2718,4033,2212,2635,3881,3436,2888,5261,2611,2713,4018,3026,1944,3832,2311,2583,2641,3858,"3,050","4,019","3,058","2,917","4,540","3,242","3,241","4,642","2,709","3,479","3,914","3,293","3,009","3,314","2,215","2,165","3,920","2,742",3553,4217,2050,"3,134","4,792","2,925","1,838","4,557","2,520","3,108","4,288","3,721","3,494","4,122","2,450","3,112","4,227","2,968","3,764","1,605","2,117","4,767","2,966"
Brooklyn,POINT (-74.02728680504437 40.622138829200345),12,12,86th Street,4th Avenue,5th Avenue,Y,983,4193,3886,1073,5202,3402,1119,5128,4606,1092,4946,4323,1049,4674,4406,1038,4032,2629,1012,4519,4063,1039,4462,3549,1211,5288,4464,1236,6226,4179,1118,3466,6416,"1,533","5,237","4,778","1,406","5,814","5,289","1,452","5,233","5,124","1,534","5,281","4,049","1,177","5,615","3,740","1,473","6,828","5,036",1678,5514,4362,"1,456","4,475","5,356","1,561","6,338","5,412","1,611","6,632","4,163","1,441","5,004","3,638","1,507","5,359","3,652","5,708","3,513","1,149","5,605","4,176"
Brooklyn,POINT (-73.98983165443039 40.68884781602196),13,13,Atlantic Avenue,Boerum Place,Smith Street,N,357,889,836,356,1063,831,473,1335,742,411,1147,984,363,1216,865,228,902,766,387,1701,1189,399,1385,967,366,1273,1284,376,1175,1366,397,756,1374,499,"1,182","1,469",442,"1,637","1,402",506,"1,561","1,309",440,"1,605","1,816",518,"1,497","1,340",462,"1,528","1,272",498,1807,962,583,"1,916","1,914",561,"1,706","1,385",553,"2,253","2,134",603,"2,018","1,935",581,"2,219","2,137","2,133","1,466",-,-,-
Brooklyn,POINT (-73.95802234844946 40.717557377707685),14,14,Bedford Avenue,North 7th Street,North 6th Street,Y,1852,4462,3432,1875,3619,3254,1823,4299,3526,1951,4778,4048,1544,5501,4110,2001,5136,4045,2179,5234,4727,1773,5090,4184,2434,6391,5872,2109,5692,3690,2817,4144,5649,"1,984","6,429","5,619","2,300","6,527","6,351","2,593","6,261","5,405","2,585","6,453","4,951","3,463","7,600","5,494","2,765","7,266","4,585",2714,6300,4630,"2,621","6,058","5,038","3,410","8,301","5,014","2,930","8,736","6,209","2,566","6,127","3,572","2,938","7,961","4,897","7,524","7,034","3,120","8,882","5,323"
Brooklyn,POINT (-73.96276340616195 40.57732714149911),15,15,Brighton Beach Avenue,Brighton 4th Street,Brighton 5th Street,Y,1204,5968,5178,1215,6095,5230,2002,7419,7729,1828,6420,5920,1411,6106,5935,1537,5590,6140,1332,5744,4994,1489,6080,5098,1427,5859,4093,1608,5520,5463,1183,3189,4868,"1,447","5,272","5,747","1,515","5,960","5,442","1,424","6,068","5,397","1,596","6,037","4,804","1,752","6,397","4,453","1,368","6,314","4,918",1687,5859,5431,"1,471","5,257","5,266","1,531","5,930","5,092","1,791","6,544","4,502","1,575","5,315","4,827","1,566","6,064","4,686","5,788","4,451","1,262","5,598","4,989"
Brooklyn,POINT (-73.94908133692475 40.650831467717374),16,16,Church Avenue,Nostrand Avenue,East 31st Street,Y,2105,4562,1703,2267,4737,2517,1681,3702,2147,2290,3962,2015,2086,4620,1971,2045,4470,1885,2040,4764,2533,2265,4908,2894,2309,4858,2628,2151,4220,1927,1268,1113,3157,"1,966","4,452","2,540","2,557","4,871","3,267","3,074","6,095","3,235","2,453","5,196","2,016","2,792","4,516","2,768","1,925","4,137","2,528",1680,4884,2375,"2,084","3,832","2,282","2,024","4,229","2,040","2,441","3,888","2,533","2,213","3,864","2,368","2,102","4,744","2,435","4,422","2,258","1,710","4,259","2,404"
Brooklyn,POINT (-73.96573732115321 40.64062739307863),17,17,Cortelyou Road,Argyle Road,Rugby Road,N,1708,2459,1233,1324,2495,1431,1756,1952,1317,2014,2704,1961,1762,2478,1553,1856,2345,1533,2110,2977,1731,2587,2997,1809,2195,3492,1883,2489,3097,1823,2120,2381,1854,"2,295","3,066","1,755","2,060","2,936","1,938","1,743","2,692","1,543","1,828","3,007","1,694","1,876","2,878","1,486","1,880","3,042","1,544",1608,2762,2439,"2,074","2,634","1,939","2,570","2,747","3,234","2,052","3,015","1,712","2,598","3,427","2,107","2,056","2,855","2,190","2,625","1,512",-,-,-
Brooklyn,POINT (-73.99249336775775 40.6894253782467),18,18,Court Street,Atlantic Avenue,Pacific Street,Y,1910,3716,3013,1920,3508,2293,1590,3486,2319,1763,3553,2540,1727,4225,2863,1223,2992,2640,1573,4214,2662,1659,4621,3028,2320,4597,3887,2096,3915,4100,1740,2405,3274,"1,932","4,402","3,863","1,687","5,174","3,605","1,952","5,266","3,787","1,844","4,426","4,856","2,126","4,943","4,048","1,761","4,714","7,496",1987,5846,3163,"2,003","5,309","4,003","2,308","4,503","3,170","2,347","5,287","4,713","2,341","5,129","3,671","2,070","4,247","3,937","3,822","3,236","1,901","6,108","4,510"
Brooklyn,POINT (-73.96818725047231 40.67292523718996),19,19,Eastern Parkway,Plaza Street East,Underhill Avenue,Y,739,1572,2534,543,1152,1027,643,1367,2999,785,1274,1759,629,880,2408,755,1496,3102,577,1647,2951,812,1695,2738,412,1792,4699,525,1094,2670,571,1133,2024,"1,228","1,623","1,842",970,"2,269","4,276",752,"2,010","3,458",687,"2,127","3,828","1,026","1,931","2,565",824,"1,884","2,511",995,2042,3333,"1,037","2,601","2,078","1,161","2,381","3,082","1,217","2,749","2,205","1,424","2,276","2,670",971,"1,750","4,437","2,062","3,147",980,"2,047","3,111"
Brooklyn,POINT (-73.9214952312361 40.60892082145514),20,20,Flatbush Avenue,Avenue U,Avenue V,N,329,1770,1355,276,1414,1036,254,1401,1473,286,2034,1238,251,1243,1251,436,1573,1398,424,1731,1563,214,1155,989,269,1083,1283,184,1079,870,197,1071,1765,347,"1,554","1,757",312,"1,827","2,077",307,"1,219","2,014",325,"1,618","1,919",273,"1,622","1,500",453,"1,661","1,523",317,1420,1254,238,816,"1,449",372,"2,698","1,487",386,"1,792","1,387",236,999,939,274,"1,505","1,306","1,361","1,159",-,-,-
Brooklyn,POINT (-73.95882184227794 40.65081053674951),21,21,Flatbush Avenue,Martense Street,Church Avenue,Y,978,5240,5106,917,4188,3097,772,3181,2023,1101,5312,2351,795,5640,1985,1029,4897,3047,1311,4775,2678,1186,4813,4735,837,3982,2197,978,4959,3917,605,482,1855,"1,011","4,044","3,530","1,068","4,481","3,463","1,046","4,091","3,695",912,"4,854","2,505",960,"3,974","2,338",858,"3,832","3,665",1001,4588,3058,"1,280","3,936","3,960","1,037","4,115","2,642",903,"3,955","3,370","1,032","4,343","2,716","1,169","4,352","3,516","3,665","3,299","1,216","5,613","4,416"
Brooklyn,POINT (-73.97390965382397 40.679186993134714),22,22,Flatbush Avenue,St. Marks Avenue,Prospect Place,N,497,1413,1478,547,1095,1191,477,1675,1211,582,1645,1204,544,1499,1378,539,1568,1223,584,1462,1787,529,1616,1168,566,1794,1568,513,1909,1336,1435,1672,2007,645,"1,723","1,727",527,"2,083","2,233",759,"2,257","1,631",631,"1,795","1,920",729,"1,660","1,583",699,"2,090","1,699",685,2542,1486,714,"2,244","1,524",808,"2,407","1,461",895,"2,459","1,794",882,"2,678","1,380",839,"2,224","2,618","2,098","2,091",-,-,-
Brooklyn,POINT (-73.98588670734839 40.69087186438645),23,23,Fulton Street,Lawrence Street,Bridge Street,Y,1478,12249,7411,1803,14617,8643,1789,15733,5051,1673,9081,6790,1548,11949,6307,1330,11540,7892,1209,9358,7390,1271,10239,6091,1507,9556,6993,1507,8732,5690,1431,4254,3267,"1,791","9,605","6,033","1,858","11,211","6,932","1,981","11,392","6,045","1,865","10,265","6,022","2,014","11,906","5,999","2,006","11,648","7,232",1671,10164,5037,"2,045","10,872","6,656","2,289","10,775","6,572","1,785","9,793","6,073","2,003","11,406","6,445","1,927","8,871","6,617","9,704","5,455","1,952","11,619","6,514"
Brooklyn,POINT (-73.94255463338305 40.70340826463375),24,24,Graham Avenue,Moore Street,Varet Street,Y,864,3732,2863,854,3322,3785,740,3066,2552,793,2814,3020,1025,4689,3161,734,3071,2370,867,2880,2940,885,2710,2807,882,4629,2751,1031,4959,1953,886,2172,607,995,"4,250","4,025",818,"4,435","4,035",905,"3,921","3,626",995,"4,051","4,952",944,"4,006","3,491",742,"3,493","3,812",477,2506,2305,742,"3,431","3,438",855,"2,526","2,459",845,"3,061","3,576","1,004","4,347","1,833",724,"3,197","3,287","2,669","3,261",518,"3,124","3,233"
Brooklyn,POINT (-73.9446668043415 40.71156922033023),25,25,Grand Street,Manhattan Avenue,Graham Avenue,N,401,1772,1305,918,3090,1893,359,1063,729,488,1106,1392,316,980,817,365,1468,1303,495,1563,1326,593,1446,1304,316,1433,1228,554,2174,1199,465,829,1352,411,"1,249","1,117",479,"1,596","1,655",526,"1,571","1,280",632,"1,857","1,680",573,"1,537","1,363",487,"1,446","1,233",725,2294,1193,665,"2,094","1,235",746,"2,573","1,146",790,"2,787",965,606,"2,013","1,029",357,"1,373","1,310","1,086","1,301",-,-,-
Brooklyn,POINT (-73.98727479290568 40.69272414021874),26,26,Jay Street,Willoughby Street,Metrotech Walk,Y,1946,3552,3066,3280,6321,1478,2636,5102,1024,2770,4956,1435,2519,5538,1383,2856,3665,962,3201,8284,2572,2384,3781,1496,2259,3458,1530,3240,4962,1756,2850,3362,2432,"4,210","7,426","2,605","3,758","6,695","2,367","3,960","6,873","1,852","2,846","5,959","2,379","2,439","4,358","1,863","4,151","6,908","2,361",2212,4245,895,"2,556","4,267","1,582","3,598","5,068","2,635","3,166","6,533","2,455","4,338","7,010","2,353","2,994","5,323","2,562","5,466","2,025","3,212","5,886","1,765"
Brooklyn,POINT (-73.95959352755617 40.60820146093596),27,27,Kings Highway,East 13th Street,East 14th Street,N,1368,4727,2866,887,3524,2125,1382,4287,2699,1541,5990,3059,1156,5009,3390,1766,5651,3174,1507,5041,2966,1479,5117,2562,1980,5447,2886,2126,5995,3610,1476,3426,1996,"1,744","5,673","2,766","1,552","5,581","2,585","2,397","6,054","3,471","1,512","4,987","2,657","1,636","5,081","2,890","1,653","4,708","2,592",1417,4755,2543,"1,718","4,984","2,680","1,707","4,512","2,387","1,908","5,716","2,655","1,903","5,017","2,548","1,981","5,591","2,649","5,364","2,967",-,-,-
